permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,1993-12-31,1994-06-30,1994-09-30,0.051,1.401,0.830,1.991,XON
11850,1993-12-31,1994-06-30,1994-10-31,0.051,1.401,0.830,2.177,XON
11850,1993-12-31,1994-09-30,1994-11-30,0.048,1.389,0.835,2.053,XON
11850,1993-12-31,1994-09-30,1994-12-31,0.048,1.389,0.835,2.065,XON
11850,1993-12-31,1994-09-30,1995-01-31,0.048,1.389,0.835,2.125,XON
11850,1994-12-31,1994-12-31,1995-02-28,0.051,1.272,0.844,1.642,XON
11850,1994-12-31,1994-12-31,1995-03-31,0.051,1.272,0.844,1.713,XON
11850,1994-12-31,1994-12-31,1995-04-30,0.051,1.272,0.844,1.787,XON
11850,1994-12-31,1995-03-31,1995-05-31,0.054,1.355,0.868,2.262,XON
11850,1994-12-31,1995-03-31,1995-06-30,0.054,1.355,0.868,2.239,XON
11850,1994-12-31,1995-03-31,1995-07-31,0.054,1.355,0.868,2.299,XON
11850,1994-12-31,1995-06-30,1995-08-31,0.060,1.325,0.887,2.135,XON
11850,1994-12-31,1995-06-30,1995-09-30,0.060,1.325,0.887,2.243,XON
11850,1994-12-31,1995-06-30,1995-10-31,0.060,1.325,0.887,2.371,XON
11850,1994-12-31,1995-09-30,1995-11-30,0.062,1.291,0.908,2.400,XON
11850,1994-12-31,1995-09-30,1995-12-31,0.062,1.291,0.908,2.516,XON
11850,1994-12-31,1995-09-30,1996-01-31,0.062,1.291,0.908,2.489,XON
11850,1995-12-31,1995-12-31,1996-02-29,0.060,1.191,0.924,1.883,XON
11850,1995-12-31,1995-12-31,1996-03-31,0.060,1.191,0.924,1.931,XON
11850,1995-12-31,1995-12-31,1996-04-30,0.060,1.191,0.924,2.014,XON
11850,1995-12-31,1996-03-31,1996-05-31,0.061,1.251,0.945,2.566,XON
11850,1995-12-31,1996-03-31,1996-06-30,0.061,1.251,0.945,2.630,XON
11850,1995-12-31,1996-03-31,1996-07-31,0.061,1.251,0.945,2.490,XON
11850,1995-12-31,1996-06-30,1996-08-31,0.061,1.240,0.960,2.446,XON
11850,1995-12-31,1996-06-30,1996-09-30,0.061,1.240,0.960,2.499,XON
11850,1995-12-31,1996-06-30,1996-10-31,0.061,1.240,0.960,2.660,XON
11850,1995-12-31,1996-09-30,1996-11-30,0.060,1.233,0.960,2.804,XON
11850,1995-12-31,1996-09-30,1996-12-31,0.060,1.233,0.960,2.912,XON
11850,1995-12-31,1996-09-30,1997-01-31,0.060,1.233,0.960,3.079,XON
11850,1996-12-31,1996-12-31,1997-02-28,0.064,1.142,1.021,2.195,XON
11850,1996-12-31,1996-12-31,1997-03-31,0.064,1.142,1.021,2.360,XON
11850,1996-12-31,1996-12-31,1997-04-30,0.064,1.142,1.021,2.480,XON
11850,1996-12-31,1997-03-31,1997-05-31,0.065,1.202,1.022,3.369,XON
11850,1996-12-31,1997-03-31,1997-06-30,0.065,1.202,1.022,3.483,XON
11850,1996-12-31,1997-03-31,1997-07-31,0.065,1.202,1.022,3.653,XON
11850,1996-12-31,1997-06-30,1997-08-31,0.067,1.185,1.052,3.455,XON
11850,1996-12-31,1997-06-30,1997-09-30,0.067,1.185,1.052,3.618,XON
11850,1996-12-31,1997-06-30,1997-10-31,0.067,1.185,1.052,3.470,XON
11850,1996-12-31,1997-09-30,1997-11-30,0.069,1.187,1.084,3.469,XON
11850,1996-12-31,1997-09-30,1997-12-31,0.069,1.187,1.084,3.480,XON
11850,1996-12-31,1997-09-30,1998-01-31,0.069,1.187,1.084,3.373,XON
11850,1997-12-31,1997-12-31,1998-02-28,0.070,1.141,1.078,2.762,XON
11850,1997-12-31,1997-12-31,1998-03-31,0.070,1.141,1.078,2.910,XON
11850,1997-12-31,1997-12-31,1998-04-30,0.070,1.141,1.078,3.144,XON
11850,1997-12-31,1998-03-31,1998-05-31,0.071,1.181,1.084,3.943,XON
11850,1997-12-31,1998-03-31,1998-06-30,0.071,1.181,1.084,3.992,XON
11850,1997-12-31,1998-03-31,1998-07-31,0.071,1.181,1.084,3.929,XON
11850,1997-12-31,1998-06-30,1998-08-31,0.071,1.177,1.068,3.681,XON
11850,1997-12-31,1998-06-30,1998-09-30,0.071,1.177,1.068,3.973,XON
11850,1997-12-31,1998-06-30,1998-10-31,0.071,1.177,1.068,4.029,XON
11850,1997-12-31,1998-09-30,1998-11-30,0.067,1.161,1.041,4.167,XON
11850,1997-12-31,1998-09-30,1998-12-31,0.067,1.161,1.041,4.063,XON
11850,1997-12-31,1998-09-30,1999-01-31,0.067,1.161,1.041,3.903,XON
11850,1998-12-31,1998-12-31,1999-02-28,0.064,1.073,0.906,2.850,XON
11850,1998-12-31,1998-12-31,1999-03-31,0.064,1.073,0.906,3.017,XON
11850,1998-12-31,1998-12-31,1999-04-30,0.064,1.073,0.906,3.551,XON
11850,1998-12-31,1999-03-31,1999-05-31,0.051,1.128,0.947,4.510,XON
11850,1998-12-31,1999-03-31,1999-06-30,0.051,1.128,0.947,4.354,XON
11850,1998-12-31,1999-03-31,1999-07-31,0.051,1.128,0.947,4.481,XON
11850,1998-12-31,1999-06-30,1999-08-31,0.049,1.123,0.896,4.476,XON
11850,1998-12-31,1999-06-30,1999-09-30,0.049,1.123,0.896,4.313,XON
11850,1998-12-31,1999-06-30,1999-10-31,0.049,1.123,0.896,4.203,XON
11850,1998-12-31,1999-09-30,1999-11-30,0.047,1.117,0.864,4.396,XON
11850,1998-12-31,1999-09-30,1999-12-31,0.047,1.117,0.864,6.367,XON
11850,1998-12-31,1999-09-30,2000-01-31,0.047,1.117,0.864,6.594,XON
11850,1999-12-31,1999-12-31,2000-02-29,0.049,1.219,0.804,3.270,XOM
11850,1999-12-31,1999-12-31,2000-03-31,0.049,1.219,0.804,3.402,XOM
11850,1999-12-31,1999-12-31,2000-04-30,0.049,1.219,0.804,3.391,XOM
11850,1999-12-31,2000-03-31,2000-05-31,0.054,1.187,0.836,4.489,XOM
11850,1999-12-31,2000-03-31,2000-06-30,0.054,1.187,0.836,4.230,XOM
11850,1999-12-31,2000-03-31,2000-07-31,0.054,1.187,0.836,4.311,XOM
11850,1999-12-31,2000-06-30,2000-08-31,0.061,1.198,0.871,4.248,XOM
11850,1999-12-31,2000-06-30,2000-09-30,0.061,1.198,0.871,4.639,XOM
11850,1999-12-31,2000-06-30,2000-10-31,0.061,1.198,0.871,4.642,XOM
11850,1999-12-31,2000-09-30,2000-11-30,0.068,1.200,0.907,4.491,XOM
11850,1999-12-31,2000-09-30,2000-12-31,0.068,1.200,0.907,4.437,XOM
11850,1999-12-31,2000-09-30,2001-01-31,0.068,1.200,0.907,4.295,XOM
11850,2000-12-31,2000-12-31,2001-02-28,0.078,1.060,1.058,3.231,XOM
11850,2000-12-31,2000-12-31,2001-03-31,0.078,1.060,1.058,3.210,XOM
11850,2000-12-31,2000-12-31,2001-04-30,0.078,1.060,1.058,3.512,XOM
11850,2000-12-31,2001-03-31,2001-05-31,0.086,1.123,1.036,3.470,XOM
11850,2000-12-31,2001-03-31,2001-06-30,0.086,1.123,1.036,3.415,XOM
11850,2000-12-31,2001-03-31,2001-07-31,0.086,1.123,1.036,3.265,XOM
11850,2000-12-31,2001-06-30,2001-08-31,0.087,1.081,1.085,3.107,XOM
11850,2000-12-31,2001-06-30,2001-09-30,0.087,1.081,1.085,3.049,XOM
11850,2000-12-31,2001-06-30,2001-10-31,0.087,1.081,1.085,3.053,XOM
11850,2000-12-31,2001-09-30,2001-11-30,0.085,1.039,1.129,2.844,XOM
11850,2000-12-31,2001-09-30,2001-12-31,0.085,1.039,1.129,2.988,XOM
11850,2000-12-31,2001-09-30,2002-01-31,0.085,1.039,1.129,2.969,XOM
11850,2001-12-31,2001-12-31,2002-02-28,0.081,0.918,1.185,3.156,XOM
11850,2001-12-31,2001-12-31,2002-03-31,0.081,0.918,1.185,3.349,XOM
11850,2001-12-31,2001-12-31,2002-04-30,0.081,0.918,1.185,3.048,XOM
11850,2001-12-31,2002-03-31,2002-05-31,0.070,0.977,1.171,3.059,XOM
