permno,adate,qdate,public_date,evm,pe_exi,gpm,roe,capital_ratio,debt_ebitda,PEG_trailing,divyield,TICKER
62092,2011-12-31,2012-09-30,2012-12-31,10.252,20.248,0.464,0.067,0.286,2.698,1.291,.941%,TMO
62092,2011-12-31,2012-09-30,2013-01-31,10.252,22.902,0.464,0.067,0.286,2.698,1.461,.832%,TMO
62092,2012-12-31,2012-12-31,2013-02-28,11.452,21.516,0.506,0.072,0.313,2.727,1.076,.813%,TMO
62092,2012-12-31,2012-12-31,2013-03-31,11.452,22.300,0.506,0.072,0.313,2.727,1.116,.784%,TMO
62092,2012-12-31,2012-12-31,2013-04-30,11.452,23.522,0.506,0.072,0.313,2.727,1.177,.744%,TMO
62092,2012-12-31,2013-03-31,2013-05-31,11.190,24.392,0.462,0.076,0.302,2.664,1.344,.680%,TMO
62092,2012-12-31,2013-03-31,2013-06-30,11.190,23.378,0.462,0.076,0.302,2.664,1.288,.709%,TMO
62092,2012-12-31,2013-03-31,2013-07-31,11.190,25.169,0.462,0.076,0.302,2.664,1.387,.659%,TMO
62092,2012-12-31,2013-06-30,2013-08-31,12.180,24.675,0.460,0.075,0.307,2.685,1.481,.675%,TMO
62092,2012-12-31,2013-06-30,2013-09-30,12.180,25.597,0.460,0.075,0.307,2.685,1.536,.651%,TMO
62092,2012-12-31,2013-06-30,2013-10-31,12.180,27.161,0.460,0.075,0.307,2.685,1.630,.614%,TMO
62092,2012-12-31,2013-09-30,2013-11-30,13.095,27.706,0.461,0.075,0.300,2.616,1.791,.595%,TMO
62092,2012-12-31,2013-09-30,2013-12-31,13.095,30.591,0.461,0.075,0.300,2.616,1.977,.539%,TMO
62092,2012-12-31,2013-09-30,2014-01-31,13.095,31.632,0.461,0.075,0.300,2.616,2.045,.521%,TMO
62092,2013-12-31,2013-12-31,2014-02-28,18.288,35.583,0.501,0.071,0.360,3.776,2.914,.482%,TMO
62092,2013-12-31,2013-12-31,2014-03-31,18.288,34.354,0.501,0.071,0.360,3.776,2.813,.499%,TMO
62092,2013-12-31,2013-12-31,2014-04-30,18.288,32.571,0.501,0.071,0.360,3.776,2.667,.526%,TMO
62092,2013-12-31,2014-03-31,2014-05-31,16.098,29.900,0.472,0.082,0.354,3.489,1.870,.513%,TMO
62092,2013-12-31,2014-03-31,2014-06-30,16.098,30.179,0.472,0.082,0.354,3.489,1.887,.508%,TMO
62092,2013-12-31,2014-03-31,2014-07-31,16.098,31.074,0.472,0.082,0.354,3.489,1.943,.494%,TMO
62092,2013-12-31,2014-06-30,2014-08-31,16.371,31.386,0.486,0.075,0.371,3.774,2.116,.499%,TMO
62092,2013-12-31,2014-06-30,2014-09-30,16.371,31.775,0.486,0.075,0.371,3.774,2.143,.493%,TMO
62092,2013-12-31,2014-06-30,2014-10-31,16.371,30.697,0.486,0.075,0.371,3.774,2.070,.510%,TMO
62092,2013-12-31,2014-09-30,2014-11-30,16.421,31.305,0.498,0.076,0.382,3.929,1.872,.464%,TMO
62092,2013-12-31,2014-09-30,2014-12-31,16.421,30.337,0.498,0.076,0.382,3.929,1.814,.479%,TMO
62092,2013-12-31,2014-09-30,2015-01-31,16.421,30.317,0.498,0.076,0.382,3.929,1.813,.479%,TMO
62092,2014-12-31,2014-12-31,2015-02-28,16.007,27.601,0.563,0.089,0.375,3.601,1.254,.462%,TMO
62092,2014-12-31,2014-12-31,2015-03-31,16.007,28.522,0.563,0.089,0.375,3.601,1.296,.447%,TMO
62092,2014-12-31,2014-12-31,2015-04-30,16.007,26.684,0.563,0.089,0.375,3.601,1.212,.477%,TMO
62092,2014-12-31,2015-03-31,2015-05-31,15.883,30.147,0.512,0.072,0.365,3.648,1.913,.463%,TMO
62092,2014-12-31,2015-03-31,2015-06-30,15.883,30.177,0.512,0.072,0.365,3.648,1.915,.462%,TMO
62092,2014-12-31,2015-03-31,2015-07-31,15.883,32.449,0.512,0.072,0.365,3.648,2.059,.430%,TMO
62092,2014-12-31,2015-06-30,2015-08-31,15.975,25.691,0.509,0.082,0.356,3.532,1.465,.479%,TMO
62092,2014-12-31,2015-06-30,2015-09-30,15.975,25.057,0.509,0.082,0.356,3.532,1.429,.491%,TMO
62092,2014-12-31,2015-06-30,2015-10-31,15.975,26.799,0.509,0.082,0.356,3.532,1.528,.459%,TMO
62092,2014-12-31,2015-09-30,2015-11-30,15.845,28.187,0.508,0.083,0.349,3.447,1.765,.434%,TMO
62092,2014-12-31,2015-09-30,2015-12-31,15.845,28.890,0.508,0.083,0.349,3.447,1.809,.423%,TMO
62092,2014-12-31,2015-09-30,2016-01-31,15.845,26.896,0.508,0.083,0.349,3.447,1.684,.454%,TMO
62092,2015-12-31,2015-12-31,2016-02-29,16.577,26.205,0.505,0.083,0.350,3.000,1.904,.464%,TMO
62092,2015-12-31,2015-12-31,2016-03-31,16.577,28.720,0.505,0.083,0.350,3.000,2.087,.424%,TMO
62092,2015-12-31,2015-12-31,2016-04-30,16.577,29.260,0.505,0.083,0.350,3.000,2.126,.416%,TMO
